departamento,codigodanedepartamento,municipio,codigodanemunicipio,ano,mes,tipodesminado,areadespejada,map,muse,aei,totalartefactosdestruidos,organizacion,estudiosnotecnicos,estudiostecnicos,operacionesdespeje,areaspeligrosas,areaspeligrosasconfirmadas
LA GUAJIRA,44,DIBULLA,44090,2017,5,Comunidades,0,0,0,0,0,BRDEH,3,0,0,0,0
ANTIOQUIA,5,SAN LUIS,5660,2019,5,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
HUILA,41,NEIVA,41001,2018,9,Comunidades,0,0,0,0,0,BRDEH,1,0,0,0,0
CALDAS,17,PENSILVANIA,17541,2018,8,Comunidades,0,0,0,0,0,BRDEH,5,0,0,0,0
META,50,VISTAHERMOSA,50711,2018,4,Comunidades,0,12,5,1,18,HI,1,0,0,0,0
SANTANDER,68,EL CARMEN,68235,2017,8,Comunidades,2984,0,0,0,0,BRDEH,4,1,0,0,0
VICHADA,99,CUMARIBO,99773,2022,8,Comunidades,0,0,14,0,14,CCCM,3,0,0,0,0
ANTIOQUIA,5,DABEIBA,5234,2022,9,Comunidades,0,0,0,0,0,CCCM,5,0,0,0,0
BOLIVAR,13,ZAMBRANO,13894,2022,2,Comunidades,0,0,0,0,0,BDIAN,0,0,0,0,1
ANTIOQUIA,5,SONSÓN,5756,2015,8,Comunidades,6725,3,0,0,3,HALO,13,2,2,0,0
CAUCA,19,CALOTO,19142,2018,11,Comunidades,0,0,0,0,0,HALO,0,0,0,0,2
ANTIOQUIA,5,SAN FRANCISCO,5652,2012,4,Comunidades,13286,5,0,0,5,BRDEH,1,3,3,0,0
ANTIOQUIA,5,ABEJORRAL,5002,2019,10,Comunidades,0,2,0,0,2,HALO,6,0,0,0,0
CAQUETA,18,MONTAÑITA,18410,2017,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0,4,0
ANTIOQUIA,5,MONTEBELLO,5467,2019,4,Comunidades,0,0,0,0,0,BRDEH,3,0,0,0,0
CESAR,20,BECERRIL,20045,2023,10,Comunidades,0,0,0,0,0,BRDEH,4,0,0,0,0
BOYACA,15,GÜICÁN,15332,2021,9,Comunidades,0,0,0,0,0,BRDEH,6,0,0,0,0
CAQUETA,18,FLORENCIA,18001,2020,8,Comunidades,28630,5,14,0,19,BRDEH,0,0,1,0,0
ANTIOQUIA,5,CARMEN DE VIBORAL,5148,2019,11,Comunidades,0,0,0,0,0,HALO,0,0,0,0,1
ANTIOQUIA,5,CARMEN DE VIBORAL,5148,2019,10,Comunidades,36100,0,0,0,0,HALO,0,0,1,0,0
HUILA,41,ALGECIRAS,41020,2017,9,Comunidades,0,0,0,0,0,CCCM,0,0,0,0,1
ANTIOQUIA,5,BRICEÑO,5107,2017,4,Comunidades,0,0,0,0,0,BRDEH,0,0,0,1,0
META,50,VISTAHERMOSA,50711,2016,12,Comunidades,0,0,0,0,0,HALO,0,0,0,0,1
